21:30:55.279 [restartedMain] INFO  com.ikn.ums.TeamsBatchJobApplication - Starting TeamsBatchJobApplication using Java 11.0.18 on IKCON1049 with PID 19732 (C:\STS-4\msteams-batchjob-service3\target\classes started by VaishnavPuthiyanampa in C:\STS-4\msteams-batchjob-service3)
21:30:55.280 [restartedMain] INFO  com.ikn.ums.TeamsBatchJobApplication - No active profile set, falling back to 1 default profile: "default"
21:30:56.037 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21:30:56.176 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 137 ms. Found 4 JPA repository interfaces.
21:30:56.483 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
21:30:56.485 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21:30:56.486 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
21:30:56.582 [restartedMain] INFO  o.a.c.c.C.[Tomcat-7].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:30:56.583 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1293 ms
21:30:56.712 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
21:30:56.734 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Starting...
21:30:56.869 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Start completed.
21:30:56.870 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
21:30:56.946 [restartedMain] INFO  com.ikn.ums.entity.Event - Event class no-param constructor executed
21:30:57.201 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
21:30:57.201 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
21:30:57.633 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
21:30:57.951 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
21:30:57.975 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
21:30:57.992 [restartedMain] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
21:30:58.048 [restartedMain] INFO  com.ikn.ums.TeamsBatchJobApplication - Started TeamsBatchJobApplication in 2.91 seconds (JVM running for 2989.795)
21:30:58.052 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
21:31:00.016 [pool-10-thread-1] INFO  com.ikn.ums.TeamsBatchJobApplication - Batch processing started
21:31:00.491 [ForkJoinPool.commonPool-worker-15] INFO  c.a.identity.ClientSecretCredential - Azure Identity => getToken() result for scopes [https://graph.microsoft.com/.default]: SUCCESS
21:31:20.832 [pool-10-thread-1] INFO  com.ikn.ums.entity.Event - Event class no-param constructor executed
21:31:34.329 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
21:31:34.722 [Thread-64] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
21:31:34.751 [Thread-64] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
21:31:34.754 [Thread-64] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Shutdown initiated...
21:31:34.771 [Thread-64] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Shutdown completed.
